job,starttime,endtime,time used
Province Fuzzy filter = bangkok,Sep 22 2020 01:51:16,Sep 22 2020 01:51:20,3.422354221343994
Province,Sep 22 2020 02:32:28,Sep 22 2020 02:32:28,0.1326451301574707
District,Sep 22 2020 02:32:40,Sep 22 2020 02:32:40,0.256314754486084
Province Fuzzy filter = bangkok,Sep 22 2020 02:33:17,Sep 22 2020 02:33:19,2.163217306137085
Postcode Fuzzy,Sep 22 2020 02:38:20,Sep 22 2020 02:40:43,143.3125400543213
Postcode Fuzzy,Sep 22 2020 02:38:31,Sep 22 2020 02:41:17,166.45069313049316
Postcode Fuzzy,Sep 22 2020 02:39:16,Sep 22 2020 02:42:12,176.00679540634155
Postcode Fuzzy,Sep 22 2020 02:40:01,Sep 22 2020 02:42:44,163.46161675453186
Postcode Fuzzy,Sep 22 2020 02:40:50,Sep 22 2020 02:43:01,131.23673820495605
Postcode Fuzzy,Sep 22 2020 02:42:21,Sep 22 2020 02:43:26,65.53735876083374
Province,Sep 22 2020 03:01:27,Sep 22 2020 03:01:30,3.365143299102783
Province Fuzzy,Sep 22 2020 03:02:05,Sep 22 2020 03:02:09,3.7749080657958984
Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.25151491165161133

Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.173905611038208
Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.022938966751098633
Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.022937536239624023
Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.029920101165771484
Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.014959096908569336
Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.019946575164794922
Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.028922557830810547
Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.030916929244995117
Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.014959096908569336
Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.03291058540344238
Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.02293848991394043

Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.018948793411254883
Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.0329129695892334
Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.03989148139953613
Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.014959096908569336
Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.02293992042541504
Province,Sep 22 2020 03:13:39,Sep 22 2020 03:13:39,0.019946575164794922
